symbol_stack_unwind,num_filesystem_inputs,exit_status,perc_cpu_used,avg_size_unshared_data_area_Kb,num_waits,avg_size_unshared_text_area_Kb,max_resident_size_Kb,cpu_sec_user_mode,num_swapped,symbol_ro_data_local,avg_total_memory_used_Kb,symbol_unique_global,elapsed_real_time_sec,num_major_page_faults,symbol_ro_data_global,num_signals,num_involuntary_context_switch,symbol_text_global,FileName,num_minor_page_faults,symbol_text_local,FileSize,symbol_debug,num_socket_msg_sent,cpu_sec_kernel_mode,num_socket_msg_recv,num_filesystem_outputs
0,128,0,75%,0,125,0,60480,0.40,0,0,0,0,0.70,0,0,0,55,4,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_free.c.o,2874,0,2896,0,0,0.12,0,0
0,128,0,76%,0,116,0,59136,0.39,0,0,0,0,0.69,0,0,0,51,6,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_set_fn.c.o,2854,0,1168,0,0,0.13,0,0
0,896,0,95%,0,180,0,70144,2.64,0,0,0,0,2.86,0,0,0,63,8,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_eval.c.o,3499,1,50648,0,0,0.10,0,0
0,128,0,88%,0,153,0,68224,1.83,0,0,0,0,2.12,0,0,0,49,1,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_remap.c.o,3016,1,22848,0,0,0.05,0,0
0,128,0,77%,0,140,0,62912,0.48,0,0,0,0,0.80,0,0,0,74,2,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_invert.c.o,2919,0,10840,0,0,0.14,0,0
0,128,0,83%,0,124,0,60672,0.40,0,0,0,0,0.61,0,0,0,47,2,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_point_assign.c.o,2878,0,2880,0,0,0.11,0,0
0,128,0,83%,0,119,0,62336,0.57,0,0,0,0,0.81,0,0,0,55,1,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_set_method.c.o,2914,0,8896,0,0,0.10,0,0
0,256,0,77%,0,132,0,61760,0.44,0,0,0,0,0.72,0,0,0,42,2,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_init.c.o,2894,0,2912,0,0,0.11,0,0
0,128,0,88%,0,126,0,64000,0.90,0,0,0,0,1.14,0,0,0,59,2,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_set_part_sizes.c.o,2938,0,12208,0,0,0.11,0,0
0,128,0,87%,0,123,0,61312,0.43,0,0,0,0,0.66,0,0,0,52,1,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_copy.c.o,2891,0,4928,0,0,0.14,0,0
0,128,0,87%,0,120,0,63296,0.64,0,0,0,0,0.83,0,0,0,57,3,packages/zoltan/src/CMakeFiles/zoltan.dir/order/perm.c.o,2919,0,7256,0,0,0.08,0,0
0,128,0,64%,0,122,0,60800,0.43,0,0,0,0,0.78,0,0,0,53,2,packages/zoltan/src/CMakeFiles/zoltan.dir/order/order_tools.c.o,2882,0,2536,0,0,0.07,0,0
0,128,0,67%,0,112,0,61248,0.41,0,0,0,0,0.77,0,0,0,56,2,packages/zoltan/src/CMakeFiles/zoltan.dir/order/order_struct.c.o,2889,0,3832,0,0,0.11,0,0
0,128,0,89%,0,129,0,64064,0.82,0,0,0,0,1.04,0,0,0,75,1,packages/zoltan/src/CMakeFiles/zoltan.dir/order/hsfcOrder.c.o,2935,0,9296,0,0,0.10,0,0
0,256,0,79%,0,141,0,63232,0.60,0,0,0,0,0.91,0,0,0,64,8,packages/zoltan/src/CMakeFiles/zoltan.dir/order/order.c.o,2925,0,12480,0,0,0.12,0,0
0,1408,0,95%,0,323,0,72256,2.83,0,0,0,0,3.10,0,0,0,55,2,packages/zoltan/src/CMakeFiles/zoltan.dir/hier/hier.c.o,3269,9,56776,0,0,0.14,0,0
0,128,0,77%,0,124,0,58112,0.38,0,0,0,0,0.64,0,0,0,49,2,packages/zoltan/src/CMakeFiles/zoltan.dir/hier/hier_free_struct.c.o,2838,0,808,0,0,0.11,0,0
0,128,0,78%,0,172,0,58752,0.32,0,0,0,0,0.56,0,0,0,76,1,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/DDirectory/DD_Destroy.c.o,2850,0,2864,0,0,0.12,0,0
0,256,0,84%,0,149,0,61248,0.44,0,0,0,0,0.65,0,0,0,60,1,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/DDirectory/DD_Remove.c.o,2890,0,8032,0,0,0.11,0,0
0,128,0,75%,0,164,0,59456,0.35,0,0,0,0,0.59,0,0,0,72,1,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/DDirectory/DD_Set_Neighbor_Hash_Fn3.c.o,2859,1,2768,0,0,0.09,0,0
0,128,0,82%,0,125,0,59264,0.36,0,0,0,0,0.55,0,0,0,38,1,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/DDirectory/DD_Set_Neighbor_Hash_Fn1.c.o,2856,1,3128,0,0,0.08,0,0
0,128,0,82%,0,164,0,61056,0.51,0,0,0,0,0.75,0,0,0,28,3,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/DDirectory/DD_Memory.c.o,2884,0,3128,0,0,0.09,0,0
0,128,0,85%,0,175,0,62080,0.64,0,0,0,0,0.90,0,0,0,53,1,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/DDirectory/DD_Update.c.o,2912,0,11168,0,0,0.12,0,0
